Model,Overall,High,Medium,Low,NIs,AIs,AGIs
GPT-4o,52.14%,91.69%,13.39%,28.06%,63.48%,47.76%,38.03%
GPT-4V,50.86%,77.78%,26.83%,31.47%,59.98%,46.92%,40.59%
Gemini Pro Vision,49.38%,64.59%,39.52%,34.63%,54.17%,48.39%,42.20%
Claude 3 Opus,46.86%,60.82%,38.82%,31.70%,52.39%,45.44%,38.71%
BlueImage-GPT,61.46%,77.38%,37.03%,61.94%,67.58%,58.23%,54.79%
MiniCPM-L3-2.5,52.54%,86.57%,12.42%,39.58%,62.20%,50.87%,38.30%
mPLUG-Owl2,50.57%,85.45%,6.39%,40.83%,57.78%,49.50%,40.83%
InstructBLIP,46.54%,87.85%,2.90%,25.00%,52.73%,47.88%,34.84%
Qwen-VL,46.25%,62.67%,0.03%,70.97%,54.25%,39.28%,40.43%
LLaVA,45.96%,91.21%,17.13%,0.69%,51.69%,48.00%,34.31%
LLaVA-1.5,45.46%,99.28%,0.60%,3.61%,50.08%,48.13%,34.97%
IDEFICS-Instruct,45.00%,98.08%,1.57%,2.78%,50.00%,47.76%,33.78%
Otter,44.86%,86.57%,20.14%,0.83%,49.20%,48.25%,34.04%
TinyGPT-V,43.57%,39.85%,66.28%,23.47%,44.06%,41.65%,44.81%
MiniGPT-4,38.57%,47.88%,54.76%,3.75%,41.65%,36.28%,35.90%
GLM,37.79%,32.13%,78.41%,0.28%,38.92%,37.78%,35.90%
MiniGPT-v2,31.11%,0.56%,46.08%,66.94%,27.05%,31.92%,36.97%
SPHINX-MoE,49.93%,4.09%,0.00%,48.06%,57.62%,48.50%,38.70%
Q-Instruct,52.86%,88.89%,0.00%,51.11%,62.20%,49.75%,40.69%
ShareGPT4V,47.82%,98.56%,0.00%,14.72%,54.65%,48.38%,35.90%
