Model,Overall,Emotion,Interest,Uniqueness,Vibe,NIs,AIs,AGIs
GPT-4o,74.64%,71.02%,80.65%,68.97%,81.60%,75.44%,75.81%,72.07%
Claude 3 Opus,73.52%,70.74%,80.00%,66.67%,78.79%,75.94%,72.75%,70.10%
Gemini Pro Vision,71.37%,66.87%,87.50%,70.00%,79.09%,70.60%,72.35%,71.53%
GPT-4V,70.16%,65.06%,72.41%,62.07%,80.15%,73.87%,72.08%,62.27%
MiniCPM-L3-2.5,76.32%,71.69%,90.32%,75.86%,84.81%,76.65%,78.68%,73.27%
mPLUG-Owl2,69.89%,65.60%,77.42%,65.52%,78.07%,71.03%,71.57%,66.22%
LLaVA-1.5,68.32%,62.49%,80.65%,75.85%,78.93%,69.26%,69.58%,65.43%
LLaVA,64.68%,58.61%,80.63%,65.52%,75.83%,67.01%,66.96%,58.38%
Qwen-VL,64.18%,58.67%,83.87%,72.41%,73.90%,63.88%,67.08%,61.57%
MiniGPT-v2,54.36%,52.52%,58.06%,44.83%,58.07%,55.86%,55.85%,50.27%
GLM,53.96%,53.13%,70.97%,44.83%,55.29%,56.58%,54.86%,48.67%
InstructBLIP,53.89%,49.64%,58.06%,51.72%,61.50%,55.06%,55.24%,48.94%
Otter,53.64%,48.42%,70.97%,51.72%,63.21%,53.05%,55.74%,52.39%
IDEFICS-Instruct,50.82%,43.93%,64.52%,62.07%,64.06%,50.72%,53.12%,49.07%
MiniGPT-4,39.35%,39.78%,38.71%,24.14%,39.04%,42.70%,37.78%,35.51%
TinyGPT-V,32.04%,30.36%,29.03%,31.03%,35.40%,32.50%,36.03%,26.99%
