Model,Overall,Rele.,Prec.,Comp.,P0,P1,P2
GPT-4o,1.732 ,1.788 ,1.662 ,1.732 ,5.20%,16.41%,78.39%
Claude 3 Opus,1.653 ,1.840 ,1.609 ,1.512 ,7.69%,19.27%,73.04%
GPT-4V,1.301 ,1.385 ,1.151 ,1.366 ,14.55%,40.80%,44.65%
Gemini Pro Vision,1.222 ,1.416 ,1.087 ,1.164 ,12.72%,52.32%,34.96%
BlueImage-GPT,1.440 ,1.628 ,1.398 ,1.295 ,9.58%,36.82%,53.60%
MiniCPM-L3-2.5,1.623 ,1.861 ,1.630 ,1.377 ,11.89%,57.08%,31.03%
Qwen-VL,1.192 ,1.393 ,1.006 ,1.175 ,11.89%,57.08%,31.03%
mPLUG-Owl2,1.182 ,1.402 ,1.016 ,1.130 ,10.12%,61.51%,28.37%
IDEFICS-Instruct,1.180 ,1.406 ,1.007 ,1.126 ,10.12%,61.81%,28.07%
LLaVA-1.5,1.157 ,1.397 ,0.953 ,1.120 ,12.28%,59.76%,27.93%
InstructBLIP,1.126 ,1.372 ,0.863 ,1.144 ,12.69%,62.02%,25.29%
LLaVA,1.125 ,1.374 ,0.918 ,1.084 ,13.23%,60.96%,25.80%
Otter,1.027 ,1.242 ,0.848 ,0.989 ,13.43%,70.48%,16.09%
MiniGPT-v2,1.003 ,1.191 ,0.868 ,0.948 ,13.23%,73.28%,13.49%
MiniGPT-4,0.999 ,1.158 ,0.823 ,1.016 ,17.25%,65.63%,17.12%
GLM,0.932 ,1.122 ,0.729 ,0.944 ,15.61%,75.61%,8.78%
TinyGPT-V,0.701 ,0.871 ,0.511 ,0.720 ,35.14%,59.56%,5.30%
