Model,Overall,Tec. Qua.,Col. Lig.,Comp.,Content,NIs,AIs,AGIs
GPT-4o,76.30%,69.00%,78.50%,76.02%,75.86%,78.42%,76.96%,71.21%
GPT-4V,72.08%,69.02%,74.66%,71.72%,65.57%,75.67%,72.58%,65.82%
Gemini Pro Vision,71.99%,65.08%,74.57%,72.24%,67.97%,74.63%,69.62%,70.03%
Claude 3 Opus,70.71%,63.23%,74.93%,69.42%,65.30%,71.11%,71.57%,68.96%
MiniCPM-L3-2.5,75.14%,71.47%,78.05%,73.78%,71.63%,77.45%,75.19%,71.28%
mPLUG-Owl2,67.89%,60.90%,70.57%,68.30%,62.77%,72.23%,64.71%,64.10%
LLaVA-1.5-7b,66.32%,53.85%,70.16%,67.40%,59.93%,69.10%,65.71%,62.37%
Qwen-VL,63.21%,54.81%,66.25%,62.91%,60.64%,68.30%,58.85%,59.44%
LLaVA,62.43%,46.79%,63.59%,65.30%,64.54%,64.29%,61.10%,60.77%
InstructBLIP,54.29%,37.82%,55.36%,55.43%,57.09%,57.06%,55.86%,47.21%
MiniGPT-v2,54.18%,56.73%,56.44%,51.74%,50.00%,56.74%,53.24%,50.93%
GLM,52.96%,55.77%,54.61%,51.25%,48.94%,54.90%,55.24%,47.34%
Otter,50.96%,35.90%,54.28%,51.65%,51.06%,51.04%,50.62%,51.20%
IDEFICS-Instruct,50.82%,37.50%,52.87%,52.84%,51.06%,52.97%,50.12%,48.40%
MiniGPT-4,41.93%,39.42%,41.31%,42.67%,44.33%,41.57%,42.89%,41.36%
TinyGPT-V,23.71%,21.79%,24.52%,22.13%,28.01%,22.71%,24.69%,24.34%
